SalesID,SalePrice
1723530,49089.37730950117
1297522,35285.51998934948
1603640,32394.543921522847
2232621,49564.485958785735
2209023,23823.16736266765
1492113,30434.9188536579
1159058,27454.94241919511
2373924,33220.216040057174
1804030,16759.975553273624
2455098,32436.160571773045
6319015,48312.66595596708
1462976,32464.575842852086
4319450,23801.135018417543
2292512,23825.61540091766
1523362,38307.113074062465
2709691,27469.630648695183
2355077,27472.078686945195
1514690,29035.09091136184
1632719,24093.20614429302
4367563,30764.83367529533
1769794,33205.527810557105
1385925,16764.871629773646
1186819,24303.719722743157
1376641,54096.562694908134
4285951,60461.94191041465
1713792,24105.446335543078
2292444,23823.16736266765
2284398,51201.193985543694
1273606,16757.527515023612
1280656,24068.7257617929
2421380,33232.45623130724
2296942,48368.00964779625
1844381,32396.99195977286
1706954,23791.342865417497
1770124,49077.137118251114
1615007,27413.325768944913
2207757,21372.681074405828
1363240,24502.765395118186
1654926,27423.11792194496
4259133,54108.8028861582
1714086,26998.87044161972
1743753,27440.254189695042
1470742,27447.598304445077
1212609,54106.35484790818
1686531,33193.28761930705
2288225,49564.485958785735
1330081,27420.669883694947
1168308,29983.22624526121
1510168,24539.48596886836
1386157,24541.934007118372
1641737,25097.019709736407
2497298,24549.27812186841
1580967,31309.394478493487
1449991,24519.90166286827
2296925,48368.00964779625
1516262,32384.751768522798
2276323,36441.27356800626
1299583,51132.64891454337
2315576,22890.85963282574
2323656,49576.72615003579
2454460,43338.79191813918
1708295,43324.10368863911
4306866,22883.515518075706
1481184,24497.869318618163
1174932,23815.823247917615
1603518,24532.141854118327
1666809,16747.735362023563
1831406,22888.41159457573
1357630,52455.46202661237
1339299,24534.589892368338
2357703,56028.153199286084
2292430,40435.575659062495
2565885,56055.08162003622
1293301,23796.23894191752
1734064,27405.981654194875
1443063,43309.41545913904
1672648,21372.681074405828
4371548,16757.527515023612
2650203,43338.79191813918
2302299,41709.428006131246
1606203,32409.232151022916
1713901,24110.3424120431
1387282,23815.823247917615
1178161,24112.790450293112
1797330,17313.9460819747
2694912,27435.35811319502
1594949,23761.966406417356
2332843,43336.34387988917
1317449,24551.726160118422
2246540,60976.92761200479
1683090,25011.800245683324
1793720,14311.93730326181
1632914,23815.823247917615
1805038,16755.0794767736
1329663,27428.01399844498
1619137,27428.01399844498
1620224,26959.701829619535
1579591,26680.078114850476
1684233,33205.527810557105
1141749,54193.41061125654
1254730,20430.58119156387
2448529,33210.42388705713
1272936,16755.0794767736
2242820,24291.4795314931
2290860,49571.83007353576
1881882,22876.171403325672
1594109,16759.975553273624
1626298,24083.41399129297
1452934,32374.959615522752
1626916,24085.862029542983
1775483,27445.150266195065
1495189,24080.96595304296
1629946,23813.375209667603
2250292,30333.423640930716
